"source","term_name","term_id","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:MF","DNA binding","GO:0003677","5.814983099094947e-123","122.23545154318496","2524","159","154","18126","Q6ZN11,Q96PE6,Q5HYK9,Q2M3W8,Q8IYI8,Q9Y6R6,Q6PF04,Q86TJ5,P15621,Q8NDQ6,Q14592,P16415,Q9H0M5,Q3ZCX4,Q5MCW4,Q8N7M2,Q9Y2P7,Q8N972,P58317,Q6ZN06,Q8N823,Q6ZN08,Q8TD23,Q9HCL3,Q96H40,A6NN14,Q96N22,Q9BSK1,Q7Z398,Q96IR2,Q9NQX6,Q6NX49,Q6ZNH5,Q9Y2P0,P10073,Q9NZV7,O15090,Q9BR84,Q96SR6,Q6AW86,Q12901,Q6PG37,Q6P280,Q5HY98,Q147U1,Q86YE8,Q9UC07,Q9GZX5,O75290,Q494X3,Q9H7R0,Q96ND8,Q13398,Q76KX8,Q9HCX3,Q8TAF7,Q9Y2Q1,Q96N58,Q6ECI4,O95780,O75437,Q6ZNA1,Q96NI8,Q9Y2G7,Q03923,Q8TF32,Q8N4W9,A6NNF4,Q5VIY5,Q6ZMV8,Q9H7R5,Q9UJU3,Q96NG5,Q8N7Q3,Q6ZN19,P17019,Q8NC26,Q5EBL2,Q8TBC5,Q9UK11,Q96GC6,A6NK53,Q96GE5,Q6PK81,P52741,O94892,Q3MIS6,Q0D2J5,Q96NL3,Q02386,Q8N8L2,Q08AN1,P17017,Q96NG8,Q8N988,Q8WXB4,Q86XN6,Q8NHY6,Q3KP31,P35789,A8MTY0,Q8N9K5,A6NK75,Q9H8G1,Q68DY1,Q86WZ6,Q9UJW8,Q96SE7,P17035,Q9HCG1,Q8TAQ5,P51522,Q6V9R5,Q68EA5,Q9BUY5,Q2VY69,Q96SK3,Q8NB42,Q8NEP9,Q96HQ0,Q9UK10,Q8N883,Q9BWM5,Q8NDP4,Q3KQV3,Q8N7K0,Q86XU0,O75467,Q32M78,Q7L2R6,Q8N9Z0,Q8N184,Q9BX82,Q8N141,Q9NV72,Q03938,P17039,Q86V71,Q7Z3V5,A8MXY4,Q5JVG8,P52742,A2RRD8,Q969W8,P17038,O75373,O75346,Q8IYN0,P0CJ79,P0DPD5,Q8NA42,Q14590,Q3KNS6,Q9P255"
"GO:MF","metal ion binding","GO:0046872","2.779237130071214e-94","93.55607439676783","4227","159","157","18126","Q6ZN11,Q96PE6,Q5HYK9,Q2M3W8,Q8IYI8,Q9Y6R6,Q6PF04,Q86TJ5,P15621,Q8NDQ6,Q14592,P16415,Q9H0M5,Q3ZCX4,Q5MCW4,Q8N7M2,Q9Y2P7,Q8N972,P58317,Q6ZN06,Q8N823,Q6ZN08,Q8TD23,Q9HCL3,Q96H40,A6NN14,Q96N22,Q9BSK1,Q7Z398,Q96IR2,Q9NQX6,Q6NX49,Q6ZNH5,Q9Y2P0,P10073,Q9NZV7,O15090,Q9BR84,Q96SR6,Q6AW86,Q12901,Q6PG37,Q6P280,Q5HY98,Q147U1,Q86YE8,Q9UC07,Q9GZX5,O75290,Q494X3,Q9H7R0,Q96ND8,Q13398,Q76KX8,Q9HCX3,Q6PDB4,Q8TAF7,Q9Y2Q1,Q96N58,Q6ECI4,O95780,O75437,Q6ZNA1,Q96NI8,Q9Y2G7,Q8WV37,Q03923,Q8TF32,Q8N4W9,A6NNF4,Q5VIY5,Q6ZMV8,Q9H7R5,Q9UJU3,Q96NG5,Q8N7Q3,Q6ZN19,P17019,Q8NC26,Q5EBL2,Q8TBC5,Q9UK11,Q96GC6,A6NK53,Q96GE5,Q6PK81,P52741,O94892,Q3MIS6,Q0D2J5,Q96NL3,Q02386,Q8N8L2,Q08AN1,P17017,Q96NG8,Q8N988,Q8WXB4,Q86XN6,P0DKX0,Q8NHY6,Q3KP31,P35789,A8MTY0,Q8N9K5,A6NK75,Q9H8G1,Q68DY1,Q86WZ6,Q9UJW8,Q96SE7,P17035,Q9HCG1,Q8TAQ5,P51522,Q6V9R5,Q68EA5,Q9BUY5,Q2VY69,Q96SK3,Q8NB42,Q8NEP9,Q96HQ0,Q9UK10,Q8N883,Q9BWM5,Q8NDP4,Q3KQV3,Q8N7K0,Q86XU0,O75467,Q32M78,Q7L2R6,Q8N9Z0,Q8N184,Q9BX82,Q8N141,Q9NV72,Q03938,P17039,Q86V71,Q7Z3V5,A8MXY4,Q5JVG8,P52742,A2RRD8,Q969W8,P17038,O75373,O75346,Q8IYN0,P0CJ79,P0DPD5,Q8NA42,Q14590,Q3KNS6,Q9P255"
"GO:MF","cation binding","GO:0043169","9.242820090445407e-93","92.03419550033213","4321","159","157","18126","Q6ZN11,Q96PE6,Q5HYK9,Q2M3W8,Q8IYI8,Q9Y6R6,Q6PF04,Q86TJ5,P15621,Q8NDQ6,Q14592,P16415,Q9H0M5,Q3ZCX4,Q5MCW4,Q8N7M2,Q9Y2P7,Q8N972,P58317,Q6ZN06,Q8N823,Q6ZN08,Q8TD23,Q9HCL3,Q96H40,A6NN14,Q96N22,Q9BSK1,Q7Z398,Q96IR2,Q9NQX6,Q6NX49,Q6ZNH5,Q9Y2P0,P10073,Q9NZV7,O15090,Q9BR84,Q96SR6,Q6AW86,Q12901,Q6PG37,Q6P280,Q5HY98,Q147U1,Q86YE8,Q9UC07,Q9GZX5,O75290,Q494X3,Q9H7R0,Q96ND8,Q13398,Q76KX8,Q9HCX3,Q6PDB4,Q8TAF7,Q9Y2Q1,Q96N58,Q6ECI4,O95780,O75437,Q6ZNA1,Q96NI8,Q9Y2G7,Q8WV37,Q03923,Q8TF32,Q8N4W9,A6NNF4,Q5VIY5,Q6ZMV8,Q9H7R5,Q9UJU3,Q96NG5,Q8N7Q3,Q6ZN19,P17019,Q8NC26,Q5EBL2,Q8TBC5,Q9UK11,Q96GC6,A6NK53,Q96GE5,Q6PK81,P52741,O94892,Q3MIS6,Q0D2J5,Q96NL3,Q02386,Q8N8L2,Q08AN1,P17017,Q96NG8,Q8N988,Q8WXB4,Q86XN6,P0DKX0,Q8NHY6,Q3KP31,P35789,A8MTY0,Q8N9K5,A6NK75,Q9H8G1,Q68DY1,Q86WZ6,Q9UJW8,Q96SE7,P17035,Q9HCG1,Q8TAQ5,P51522,Q6V9R5,Q68EA5,Q9BUY5,Q2VY69,Q96SK3,Q8NB42,Q8NEP9,Q96HQ0,Q9UK10,Q8N883,Q9BWM5,Q8NDP4,Q3KQV3,Q8N7K0,Q86XU0,O75467,Q32M78,Q7L2R6,Q8N9Z0,Q8N184,Q9BX82,Q8N141,Q9NV72,Q03938,P17039,Q86V71,Q7Z3V5,A8MXY4,Q5JVG8,P52742,A2RRD8,Q969W8,P17038,O75373,O75346,Q8IYN0,P0CJ79,P0DPD5,Q8NA42,Q14590,Q3KNS6,Q9P255"
"GO:MF","nucleic acid binding","GO:0003676","4.010133522888846e-92","91.3968411667094","4361","159","157","18126","Q6ZN11,Q96PE6,Q5HYK9,Q2M3W8,Q8IYI8,Q9Y6R6,Q6PF04,Q86TJ5,P15621,Q8NDQ6,Q14592,P16415,Q9H0M5,Q3ZCX4,Q5MCW4,Q8N7M2,Q9Y2P7,Q8N972,P58317,Q6ZN06,Q8N823,Q6ZN08,Q8TD23,Q9HCL3,Q96H40,A6NN14,Q96N22,Q9BSK1,Q7Z398,Q96IR2,Q9NQX6,Q6NX49,Q6ZNH5,Q9Y2P0,P10073,Q9NZV7,O15090,Q9BR84,Q96SR6,Q6AW86,Q12901,Q6PG37,Q6P280,Q5HY98,Q147U1,Q86YE8,Q9UC07,Q9GZX5,O75290,Q494X3,Q9H7R0,Q96ND8,Q13398,Q76KX8,Q9HCX3,Q6PDB4,Q8TAF7,Q9Y2Q1,Q96N58,Q6ECI4,O95780,O75437,Q6ZNA1,Q96NI8,Q9Y2G7,Q8WV37,Q03923,Q8TF32,Q8N4W9,A6NNF4,Q5VIY5,Q6ZMV8,Q9H7R5,Q9UJU3,Q96NG5,Q8N7Q3,Q6ZN19,P17019,Q8NC26,Q5EBL2,Q8TBC5,Q9UK11,Q96GC6,A6NK53,Q96GE5,Q6PK81,P52741,O94892,Q3MIS6,Q0D2J5,Q96NL3,Q02386,Q8N8L2,Q08AN1,P17017,Q96NG8,Q8N988,Q8WXB4,Q86XN6,P0DKX0,Q8NHY6,Q3KP31,P35789,A8MTY0,Q8N9K5,A6NK75,Q9H8G1,Q68DY1,Q86WZ6,Q9UJW8,Q96SE7,P17035,Q9HCG1,Q8TAQ5,P51522,Q6V9R5,Q68EA5,Q9BUY5,Q2VY69,Q96SK3,Q8NB42,Q8NEP9,Q96HQ0,Q9UK10,Q8N883,Q9BWM5,Q8NDP4,Q3KQV3,Q8N7K0,Q86XU0,O75467,Q32M78,Q7L2R6,Q8N9Z0,Q8N184,Q9BX82,Q8N141,Q9NV72,Q03938,P17039,Q86V71,Q7Z3V5,A8MXY4,Q5JVG8,P52742,A2RRD8,Q969W8,P17038,O75373,O75346,Q8IYN0,P0CJ79,P0DPD5,Q8NA42,Q14590,Q3KNS6,Q9P255"
"GO:MF","heterocyclic compound binding","GO:1901363","6.730902505502229e-67","66.1719266999839","6290","159","157","18126","Q6ZN11,Q96PE6,Q5HYK9,Q2M3W8,Q8IYI8,Q9Y6R6,Q6PF04,Q86TJ5,P15621,Q8NDQ6,Q14592,P16415,Q9H0M5,Q3ZCX4,Q5MCW4,Q8N7M2,Q9Y2P7,Q8N972,P58317,Q6ZN06,Q8N823,Q6ZN08,Q8TD23,Q9HCL3,Q96H40,A6NN14,Q96N22,Q9BSK1,Q7Z398,Q96IR2,Q9NQX6,Q6NX49,Q6ZNH5,Q9Y2P0,P10073,Q9NZV7,O15090,Q9BR84,Q96SR6,Q6AW86,Q12901,Q6PG37,Q6P280,Q5HY98,Q147U1,Q86YE8,Q9UC07,Q9GZX5,O75290,Q494X3,Q9H7R0,Q96ND8,Q13398,Q76KX8,Q9HCX3,Q6PDB4,Q8TAF7,Q9Y2Q1,Q96N58,Q6ECI4,O95780,O75437,Q6ZNA1,Q96NI8,Q9Y2G7,Q8WV37,Q03923,Q8TF32,Q8N4W9,A6NNF4,Q5VIY5,Q6ZMV8,Q9H7R5,Q9UJU3,Q96NG5,Q8N7Q3,Q6ZN19,P17019,Q8NC26,Q5EBL2,Q8TBC5,Q9UK11,Q96GC6,A6NK53,Q96GE5,Q6PK81,P52741,O94892,Q3MIS6,Q0D2J5,Q96NL3,Q02386,Q8N8L2,Q08AN1,P17017,Q96NG8,Q8N988,Q8WXB4,Q86XN6,P0DKX0,Q8NHY6,Q3KP31,P35789,A8MTY0,Q8N9K5,A6NK75,Q9H8G1,Q68DY1,Q86WZ6,Q9UJW8,Q96SE7,P17035,Q9HCG1,Q8TAQ5,P51522,Q6V9R5,Q68EA5,Q9BUY5,Q2VY69,Q96SK3,Q8NB42,Q8NEP9,Q96HQ0,Q9UK10,Q8N883,Q9BWM5,Q8NDP4,Q3KQV3,Q8N7K0,Q86XU0,O75467,Q32M78,Q7L2R6,Q8N9Z0,Q8N184,Q9BX82,Q8N141,Q9NV72,Q03938,P17039,Q86V71,Q7Z3V5,A8MXY4,Q5JVG8,P52742,A2RRD8,Q969W8,P17038,O75373,O75346,Q8IYN0,P0CJ79,P0DPD5,Q8NA42,Q14590,Q3KNS6,Q9P255"
"GO:MF","ion binding","GO:0043167","1.0569650431126075e-66","65.97593937582819","6308","159","157","18126","Q6ZN11,Q96PE6,Q5HYK9,Q2M3W8,Q8IYI8,Q9Y6R6,Q6PF04,Q86TJ5,P15621,Q8NDQ6,Q14592,P16415,Q9H0M5,Q3ZCX4,Q5MCW4,Q8N7M2,Q9Y2P7,Q8N972,P58317,Q6ZN06,Q8N823,Q6ZN08,Q8TD23,Q9HCL3,Q96H40,A6NN14,Q96N22,Q9BSK1,Q7Z398,Q96IR2,Q9NQX6,Q6NX49,Q6ZNH5,Q9Y2P0,P10073,Q9NZV7,O15090,Q9BR84,Q96SR6,Q6AW86,Q12901,Q6PG37,Q6P280,Q5HY98,Q147U1,Q86YE8,Q9UC07,Q9GZX5,O75290,Q494X3,Q9H7R0,Q96ND8,Q13398,Q76KX8,Q9HCX3,Q6PDB4,Q8TAF7,Q9Y2Q1,Q96N58,Q6ECI4,O95780,O75437,Q6ZNA1,Q96NI8,Q9Y2G7,Q8WV37,Q03923,Q8TF32,Q8N4W9,A6NNF4,Q5VIY5,Q6ZMV8,Q9H7R5,Q9UJU3,Q96NG5,Q8N7Q3,Q6ZN19,P17019,Q8NC26,Q5EBL2,Q8TBC5,Q9UK11,Q96GC6,A6NK53,Q96GE5,Q6PK81,P52741,O94892,Q3MIS6,Q0D2J5,Q96NL3,Q02386,Q8N8L2,Q08AN1,P17017,Q96NG8,Q8N988,Q8WXB4,Q86XN6,P0DKX0,Q8NHY6,Q3KP31,P35789,A8MTY0,Q8N9K5,A6NK75,Q9H8G1,Q68DY1,Q86WZ6,Q9UJW8,Q96SE7,P17035,Q9HCG1,Q8TAQ5,P51522,Q6V9R5,Q68EA5,Q9BUY5,Q2VY69,Q96SK3,Q8NB42,Q8NEP9,Q96HQ0,Q9UK10,Q8N883,Q9BWM5,Q8NDP4,Q3KQV3,Q8N7K0,Q86XU0,O75467,Q32M78,Q7L2R6,Q8N9Z0,Q8N184,Q9BX82,Q8N141,Q9NV72,Q03938,P17039,Q86V71,Q7Z3V5,A8MXY4,Q5JVG8,P52742,A2RRD8,Q969W8,P17038,O75373,O75346,Q8IYN0,P0CJ79,P0DPD5,Q8NA42,Q14590,Q3KNS6,Q9P255"
"GO:MF","organic cyclic compound binding","GO:0097159","5.88954623004482e-66","65.2299181648698","6377","159","157","18126","Q6ZN11,Q96PE6,Q5HYK9,Q2M3W8,Q8IYI8,Q9Y6R6,Q6PF04,Q86TJ5,P15621,Q8NDQ6,Q14592,P16415,Q9H0M5,Q3ZCX4,Q5MCW4,Q8N7M2,Q9Y2P7,Q8N972,P58317,Q6ZN06,Q8N823,Q6ZN08,Q8TD23,Q9HCL3,Q96H40,A6NN14,Q96N22,Q9BSK1,Q7Z398,Q96IR2,Q9NQX6,Q6NX49,Q6ZNH5,Q9Y2P0,P10073,Q9NZV7,O15090,Q9BR84,Q96SR6,Q6AW86,Q12901,Q6PG37,Q6P280,Q5HY98,Q147U1,Q86YE8,Q9UC07,Q9GZX5,O75290,Q494X3,Q9H7R0,Q96ND8,Q13398,Q76KX8,Q9HCX3,Q6PDB4,Q8TAF7,Q9Y2Q1,Q96N58,Q6ECI4,O95780,O75437,Q6ZNA1,Q96NI8,Q9Y2G7,Q8WV37,Q03923,Q8TF32,Q8N4W9,A6NNF4,Q5VIY5,Q6ZMV8,Q9H7R5,Q9UJU3,Q96NG5,Q8N7Q3,Q6ZN19,P17019,Q8NC26,Q5EBL2,Q8TBC5,Q9UK11,Q96GC6,A6NK53,Q96GE5,Q6PK81,P52741,O94892,Q3MIS6,Q0D2J5,Q96NL3,Q02386,Q8N8L2,Q08AN1,P17017,Q96NG8,Q8N988,Q8WXB4,Q86XN6,P0DKX0,Q8NHY6,Q3KP31,P35789,A8MTY0,Q8N9K5,A6NK75,Q9H8G1,Q68DY1,Q86WZ6,Q9UJW8,Q96SE7,P17035,Q9HCG1,Q8TAQ5,P51522,Q6V9R5,Q68EA5,Q9BUY5,Q2VY69,Q96SK3,Q8NB42,Q8NEP9,Q96HQ0,Q9UK10,Q8N883,Q9BWM5,Q8NDP4,Q3KQV3,Q8N7K0,Q86XU0,O75467,Q32M78,Q7L2R6,Q8N9Z0,Q8N184,Q9BX82,Q8N141,Q9NV72,Q03938,P17039,Q86V71,Q7Z3V5,A8MXY4,Q5JVG8,P52742,A2RRD8,Q969W8,P17038,O75373,O75346,Q8IYN0,P0CJ79,P0DPD5,Q8NA42,Q14590,Q3KNS6,Q9P255"
"GO:MF","DNA-binding transcription factor activity","GO:0003700","5.509589683764519e-13","12.25888074320125","1319","159","45","18126","Q8IYI8,Q9Y6R6,Q6PF04,Q86TJ5,Q9Y2P7,A6NN14,Q7Z398,Q96IR2,Q6ZNH5,Q9Y2P0,P10073,Q9NZV7,O15090,Q9BR84,Q96SR6,Q12901,Q6P280,Q147U1,Q9UC07,Q9GZX5,Q494X3,Q03923,Q8N4W9,Q96NG5,Q5EBL2,Q8TBC5,Q96GC6,P52741,Q96NL3,Q02386,Q8N8L2,Q96NG8,Q8N988,P35789,Q9UJW8,Q2VY69,Q8NEP9,Q8N883,Q8NDP4,Q8N184,Q03938,A8MXY4,P52742,Q969W8,P17038"
"GO:MF","transcription regulator activity","GO:0140110","9.528037180673285e-9","8.020996556801336","1736","159","45","18126","Q8IYI8,Q9Y6R6,Q6PF04,Q86TJ5,Q9Y2P7,A6NN14,Q7Z398,Q96IR2,Q6ZNH5,Q9Y2P0,P10073,Q9NZV7,O15090,Q9BR84,Q96SR6,Q12901,Q6P280,Q147U1,Q9UC07,Q9GZX5,Q494X3,Q03923,Q8N4W9,Q96NG5,Q5EBL2,Q8TBC5,Q96GC6,P52741,Q96NL3,Q02386,Q8N8L2,Q96NG8,Q8N988,P35789,Q9UJW8,Q2VY69,Q8NEP9,Q8N883,Q8NDP4,Q8N184,Q03938,A8MXY4,P52742,Q969W8,P17038"
"GO:MF","binding","GO:0005488","8.203286167086673e-7","6.086012138062721","15944","159","159","18126","Q6ZN11,Q96PE6,Q5HYK9,Q2M3W8,Q8IYI8,Q9Y6R6,Q6PF04,Q86TJ5,P15621,Q8NDQ6,Q14592,P16415,Q9H0M5,Q3ZCX4,Q5MCW4,Q8N7M2,Q9Y2P7,Q8N972,P58317,Q6ZN06,Q8N823,Q6ZN08,Q8TD23,Q9HCL3,Q96H40,A6NN14,Q96N22,Q9BSK1,Q7Z398,Q96IR2,Q9NQX6,Q6NX49,Q6ZNH5,Q9Y2P0,P10073,Q9NZV7,O15090,O75022,Q9BR84,Q96SR6,Q6AW86,Q12901,Q6PG37,Q6P280,Q5HY98,Q147U1,Q86YE8,Q9UC07,Q9GZX5,O75290,Q494X3,Q9H7R0,Q96ND8,Q13398,Q76KX8,Q9HCX3,Q6PDB4,Q8TAF7,Q9Y2Q1,Q96N58,Q6ECI4,O95780,O75437,Q6ZNA1,Q96NI8,Q9Y2G7,Q8WV37,Q03923,Q8TF32,Q8N4W9,A6NNF4,Q5VIY5,Q6ZMV8,Q9H7R5,Q9UJU3,Q96NG5,Q8N7Q3,Q6ZN19,P17019,Q8NC26,Q5EBL2,Q8TBC5,Q9UK11,Q8N423,Q96GC6,A6NK53,Q96GE5,Q6PK81,P52741,O94892,Q3MIS6,Q0D2J5,Q96NL3,Q02386,Q8N8L2,Q08AN1,P17017,Q96NG8,Q8N988,Q8WXB4,Q86XN6,P0DKX0,Q8NHY6,Q3KP31,P35789,A8MTY0,Q8N9K5,A6NK75,Q9H8G1,Q68DY1,Q86WZ6,Q9UJW8,Q96SE7,P17035,Q9HCG1,Q8TAQ5,P51522,Q6V9R5,Q68EA5,Q9BUY5,Q2VY69,Q96SK3,Q8NB42,Q8NEP9,Q96HQ0,Q9UK10,Q8N883,Q9BWM5,Q8NDP4,Q3KQV3,Q8N7K0,Q86XU0,O75467,Q32M78,Q7L2R6,Q8N9Z0,Q8N184,Q9BX82,Q8N141,Q9NV72,Q03938,P17039,Q86V71,Q7Z3V5,A8MXY4,Q5JVG8,P52742,A2RRD8,Q969W8,P17038,O75373,O75346,Q8IYN0,P0CJ79,P0DPD5,Q8NA42,Q14590,Q3KNS6,Q9P255"
