#FamilyID	Size	Nbcomposites	PercentComposites	NbCompFamilies	NbSingleCompFamilies	Connectivity	NbDomains	NoOverLapScore
F677	1	1	1.00	4	1	1.00	2.00	0.00
F569	1	1	1.00	2	2	1.00	2.00	1.00
F441	1	1	1.00	3	1	1.00	2.00	1.00
F409	1	1	1.00	2	2	1.00	2.00	1.00
F305	1	1	1.00	6	6	1.00	2.00	1.00
F289	6	3	0.50	4	2	0.60	2.00	0.00
F169	1	1	1.00	2	2	1.00	2.00	1.00
F678	2	1	0.50	3	1	1.00	2.00	1.00
F630	3	3	1.00	3	2	1.00	2.00	0.67
F606	1	1	1.00	8	5	1.00	3.00	1.00
F174	1	1	1.00	2	2	1.00	2.00	1.00
F170	1	1	1.00	4	4	1.00	2.00	1.00
F146	1	1	1.00	2	2	1.00	2.00	1.00
F643	2	1	0.50	2	1	1.00	2.00	1.00
F631	1	1	1.00	3	2	1.00	2.00	1.00
F623	1	1	1.00	8	5	1.00	3.00	1.00
F571	1	1	1.00	2	2	1.00	2.00	1.00
F567	1	1	1.00	2	2	1.00	2.00	1.00
F439	1	1	1.00	3	1	1.00	2.00	1.00
F431	1	1	1.00	3	2	1.00	2.00	1.00
F660	1	1	1.00	2	2	1.00	2.00	1.00
F108	1	1	1.00	2	2	1.00	2.00	1.00




F118	3	3	1.00	2	2	1.00	2.00	1.00

F278	3	1	0.33	2	2	1.00	2.00	0.00
F233	1	1	1.00	2	2	1.00	2.00	0.00

F27	5	5	1.00	3	3	1.00	2.00	0.90
F26	7	6	0.86	3	3	0.81	3.00	0.50

F176	9	9	1.00	2	2	1.00	2.00	1.00

F457	20	20	1.00	2	2	1.00	2.00	1.00
F634	2	2	1.00	2	2	1.00	2.00	1.00
F635	1	1	1.00	2	2	1.00	2.00	1.00
F636	1	1	1.00	2	2	1.00	2.00	1.00

F759	3	3	1.00	2	2	1.00	2.00	1.00

F480	2	2	1.00	2	1	1.00	2.00	1.00
F479	2	2	1.00	2	1	1.00	2.00	1.00

F129	39	39	1.00	2	0	1.00	2.00	1.00

F680	2	2	1.00	2	0	1.00	2.00	1.00
	F440	2	2	1.00	8	3	1.00	2.00	1.00
	F416	2	2	1.00	13	6	1.00	2.00	0.00
	F288	7	7	1.00	12	5	1.00	2.00	1.00

F728	1	1	1.00	2	1	1.00	2.00	0.00
	F727	1	1	1.00	3	2	1.00	2.00	0.00

