#Name,Accession,Start,Stop,Strand,GeneID,Locus,Locus tag,Protein product,Length,Protein Name
"chromosome X","NC_000023.11",284188,299335,"+",55344,"PLCXD1","-","XP_024308163.1",323,"PI-PLC X domain-containing protein 1 isoform X1"
"chromosome X","NC_000023.11",284188,299335,"+",55344,"PLCXD1","-","NP_001357300.1",323,"PI-PLC X domain-containing protein 1 isoform 1"
"chromosome X","NC_000023.11",284188,299335,"+",55344,"PLCXD1","-","NP_001357299.1",323,"PI-PLC X domain-containing protein 1 isoform 1"
"chromosome X","NC_000023.11",284188,299335,"+",55344,"PLCXD1","-","NP_001357302.1",323,"PI-PLC X domain-containing protein 1 isoform 1"
"chromosome X","NC_000023.11",284188,299335,"+",55344,"PLCXD1","-","XP_011544482.1",323,"PI-PLC X domain-containing protein 1 isoform X1"
"chromosome X","NC_000023.11",284188,299335,"+",55344,"PLCXD1","-","NP_060860.1",323,"PI-PLC X domain-containing protein 1 isoform 1"
"chromosome X","NC_000023.11",284188,299335,"+",55344,"PLCXD1","-","NP_001357301.1",271,"PI-PLC X domain-containing protein 1 isoform 2"
"chromosome X","NC_000023.11",305074,318787,"-",8225,"GTPBP6","-","NP_036359.3",516,"putative GTP-binding protein 6"
"chromosome X","NC_000023.11",305074,316983,"-",8225,"GTPBP6","-","XP_006724510.1",377,"putative GTP-binding protein 6 isoform X1"
"chromosome X","NC_000023.11",305074,315246,"-",8225,"GTPBP6","-","XP_011544486.1",336,"putative GTP-binding protein 6 isoform X2"
"chromosome X","NC_000023.11",334367,386691,"-",28227,"PPP2R3B","-","NP_037371.2",575,"serine/threonine-protein phosphatase 2A regulatory subunit B\\'\\' subunit beta"
"chromosome X","NC_000023.11",335878,386691,"-",28227,"PPP2R3B","-","XP_011544479.1",565,"serine/threonine-protein phosphatase 2A regulatory subunit B\\'\\' subunit beta isoform X1"
"chromosome X","NC_000023.11",630898,658829,"+",6473,"SHOX","-","NP_006874.1",225,"short stature homeobox protein isoform SHOXb"
"chromosome X","NC_000023.11",630898,644636,"+",6473,"SHOX","-","NP_000442.1",292,"short stature homeobox protein isoform SHOXa"
"chromosome X","NC_000023.11",1190897,1212634,"-",64109,"CRLF2","-","XP_011544483.1",370,"cytokine receptor-like factor 2 isoform X1"
"chromosome X","NC_000023.11",1190897,1212634,"-",64109,"CRLF2","-","NP_071431.2",371,"cytokine receptor-like factor 2 isoform 1 precursor"
"chromosome X","NC_000023.11",1190897,1206445,"-",64109,"CRLF2","-","NP_001012288.2",259,"cytokine receptor-like factor 2 isoform 2"
"chromosome X","NC_000023.11",1193240,1212634,"-",64109,"CRLF2","-","XP_011544484.1",251,"cytokine receptor-like factor 2 isoform X2"
"chromosome X","NC_000023.11",1282704,1325063,"+",1438,"CSF2RA","-","XP_011544470.1",386,"granulocyte-macrophage colony-stimulating factor receptor subunit alpha isoform X4"
"chromosome X","NC_000023.11",1282704,1323217,"+",1438,"CSF2RA","-","XP_011544471.1",385,"granulocyte-macrophage colony-stimulating factor receptor subunit alpha isoform X5"
"chromosome X","NC_000023.11",1282704,1322513,"+",1438,"CSF2RA","-","XP_011544469.1",389,"granulocyte-macrophage colony-stimulating factor receptor subunit alpha isoform X3"
"chromosome X","NC_000023.11",1282704,1322491,"+",1438,"CSF2RA","-","XP_016884776.1",383,"granulocyte-macrophage colony-stimulating factor receptor subunit alpha isoform X6"
"chromosome X","NC_000023.11",1282704,1322491,"+",1438,"CSF2RA","-","XP_011544472.1",383,"granulocyte-macrophage colony-stimulating factor receptor subunit alpha isoform X6"
"chromosome X","NC_000023.11",1282704,1309589,"+",1438,"CSF2RA","-","NP_758449.1",377,"granulocyte-macrophage colony-stimulating factor receptor subunit alpha isoform b precursor"
"chromosome X","NC_000023.11",1282704,1309479,"+",1438,"CSF2RA","-","NP_001155002.1",434,"granulocyte-macrophage colony-stimulating factor receptor subunit alpha isoform f precursor"
"chromosome X","NC_000023.11",1282704,1309479,"+",1438,"CSF2RA","-","NP_006131.2",400,"granulocyte-macrophage colony-stimulating factor receptor subunit alpha isoform a precursor"
"chromosome X","NC_000023.11",1282704,1309479,"+",1438,"CSF2RA","-","NP_001155001.1",400,"granulocyte-macrophage colony-stimulating factor receptor subunit alpha isoform a precursor"
"chromosome X","NC_000023.11",1282704,1309479,"+",1438,"CSF2RA","-","NP_758448.1",400,"granulocyte-macrophage colony-stimulating factor receptor subunit alpha isoform a precursor"
"chromosome X","NC_000023.11",1282704,1309479,"+",1438,"CSF2RA","-","XP_011544468.1",400,"granulocyte-macrophage colony-stimulating factor receptor subunit alpha isoform X2"
"chromosome X","NC_000023.11",1282704,1305735,"+",1438,"CSF2RA","-","NP_001155003.1",410,"granulocyte-macrophage colony-stimulating factor receptor subunit alpha isoform g precursor"
"chromosome X","NC_000023.11",1282704,1305735,"+",1438,"CSF2RA","-","XP_011544467.1",410,"granulocyte-macrophage colony-stimulating factor receptor subunit alpha isoform X1"
"chromosome X","NC_000023.11",1282704,1305501,"+",1438,"CSF2RA","-","XP_016884777.1",333,"granulocyte-macrophage colony-stimulating factor receptor subunit alpha isoform X7"
"chromosome X","NC_000023.11",1282704,1305501,"+",1438,"CSF2RA","-","NP_758450.1",333,"granulocyte-macrophage colony-stimulating factor receptor subunit alpha isoform c precursor"
"chromosome X","NC_000023.11",1282704,1305501,"+",1438,"CSF2RA","-","XP_011544475.1",333,"granulocyte-macrophage colony-stimulating factor receptor subunit alpha isoform X7"
"chromosome X","NC_000023.11",1282704,1305501,"+",1438,"CSF2RA","-","XP_011544476.1",333,"granulocyte-macrophage colony-stimulating factor receptor subunit alpha isoform X7"
"chromosome X","NC_000023.11",1282704,1305501,"+",1438,"CSF2RA","-","XP_011544477.1",333,"granulocyte-macrophage colony-stimulating factor receptor subunit alpha isoform X7"
"chromosome X","NC_000023.11",1282704,1305501,"+",1438,"CSF2RA","-","NP_758452.1",233,"granulocyte-macrophage colony-stimulating factor receptor subunit alpha isoform e precursor"
"chromosome X","NC_000023.11",1288815,1309479,"+",1438,"CSF2RA","-","NP_001155004.1",267,"granulocyte-macrophage colony-stimulating factor receptor subunit alpha isoform h"
"chromosome X","NC_000023.11",1341766,1382465,"+",3563,"IL3RA","-","NP_002174.1",378,"interleukin-3 receptor subunit alpha isoform 1 precursor"
