,component,composite,composite_start,composite_end,component_fam,composite_fam,no_overlap_score
0,sp|Q96IT1|ZN496_HUMAN,sp|P17040|ZSC20_HUMAN,41,132,F114,F110,1.00
1,sp|Q5SXM1|ZN678_HUMAN,sp|P17040|ZSC20_HUMAN,696,1039,F109,F110,1.00
2,sp|Q02985|FHR3_HUMAN,sp|P08603|CFAH_HUMAN,312,601,F41,F33,1.00
3,sp|Q03591|FHR1_HUMAN,sp|P08603|CFAH_HUMAN,935,1231,F39,F33,1.00
4,sp|Q86T75|NBPFB_HUMAN,sp|P0DPF2|NBPFK_HUMAN,68,485,F145,F147,1.00
5,sp|A0A087WUL8|NBPFJ_HUMAN,sp|P0DPF2|NBPFK_HUMAN,790,4452,F128,F147,1.00
6,sp|P0DPF3|NBPF9_HUMAN,sp|P0DPF2|NBPFK_HUMAN,3962,4621,F146,F147,1.00
7,sp|Q3BBV0|NBPF1_HUMAN,sp|P0DPF2|NBPFK_HUMAN,4694,5207,F119,F147,1.00
8,sp|Q5TAG4|NBPFC_HUMAN,sp|P0DPF2|NBPFK_HUMAN,4473,5207,F119,F147,1.00
9,sp|Q8N660|NBPFF_HUMAN,sp|P0DPF2|NBPFK_HUMAN,4694,5207,F144,F147,1.00
10,sp|Q9H094|NBPF3_HUMAN,sp|P0DPF2|NBPFK_HUMAN,4792,5207,F144,F147,1.00
