,source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents
0,KEGG,KEGG:05168,Herpes simplex virus 1 infection,1.4819061440150188e-214,True,Herpes simplex virus 1 infection,487,277,213,7747,0.7689530685920578,0.43737166324435317,query_1,['KEGG:00000']
1,GO:MF,GO:0003677,DNA binding,2.7505083334500684e-178,True,"""Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid)."" [GOC:dph, GOC:jl, GOC:tb, GOC:vw]",2485,448,323,18134,0.7209821428571429,0.12997987927565394,query_1,['GO:0003676']
2,GO:BP,GO:0006355,"regulation of transcription, DNA-templated",7.458360846935093e-140,True,"""Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription."" [GOC:go_curators, GOC:txnOH]",3445,432,324,17916,0.75,0.09404934687953556,query_1,"['GO:0006351', 'GO:0010468', 'GO:1903506', 'GO:2000112']"
3,GO:BP,GO:1903506,regulation of nucleic acid-templated transcription,6.448051168081445e-137,True,"""Any process that modulates the frequency, rate or extent of nucleic acid-templated transcription."" [GO_REF:0000058, GOC:pr, GOC:TermGenie, GOC:txnOH, GOC:vw]",3520,432,324,17916,0.75,0.09204545454545454,query_1,"['GO:0097659', 'GO:2001141']"
4,GO:BP,GO:2001141,regulation of RNA biosynthetic process,1.0060809032061937e-136,True,"""Any process that modulates the frequency, rate or extent of RNA biosynthetic process."" [GOC:dph]",3525,432,324,17916,0.75,0.09191489361702128,query_1,"['GO:0010556', 'GO:0031326', 'GO:0032774', 'GO:0051252']"
5,GO:BP,GO:0006351,"transcription, DNA-templated",4.484057094164502e-134,True,"""The cellular synthesis of RNA on a template of DNA."" [GOC:jl, GOC:txnOH]",3624,432,325,17916,0.7523148148148148,0.08967991169977925,query_1,"['GO:0010467', 'GO:0034645', 'GO:0097659']"
6,GO:BP,GO:0097659,nucleic acid-templated transcription,3.267867617641614e-132,True,"""The cellular synthesis of RNA on a template of nucleic acid (DNA or RNA)."" [GOC:pr, GOC:txnOH, GOC:vw]",3674,432,325,17916,0.7523148148148148,0.0884594447468699,query_1,['GO:0032774']
7,GO:MF,GO:0046872,metal ion binding,6.310639674528573e-132,True,"""Interacting selectively and non-covalently with any metal ion."" [GOC:ai]",4222,448,348,18134,0.7767857142857143,0.08242539081004263,query_1,['GO:0043169']
8,GO:BP,GO:0032774,RNA biosynthetic process,1.0727909343226988e-131,True,"""The chemical reactions and pathways resulting in the formation of RNA, ribonucleic acid, one of the two main type of nucleic acid, consisting of a long, unbranched macromolecule formed from ribonucleotides joined in 3',5'-phosphodiester linkage. Includes polymerization of ribonucleotide monomers. Refers not only to transcription but also to e.g. viral RNA replication."" [GOC:mah, GOC:txnOH]",3688,432,325,17916,0.7523148148148148,0.0881236442516269,query_1,"['GO:0009059', 'GO:0016070', 'GO:0034654']"
9,GO:BP,GO:0051252,regulation of RNA metabolic process,5.194513546268055e-130,True,"""Any process that modulates the frequency, rate or extent of the chemical reactions and pathways involving RNA."" [GOC:ai]",3795,432,327,17916,0.7569444444444444,0.08616600790513834,query_1,"['GO:0016070', 'GO:0019219', 'GO:0060255']"
