#Name,Accession,Start,Stop,Strand,GeneID,Locus,Locus tag,Protein product,Length,Protein Name
"chromosome 5","NC_000005.10",92232,182323,"+",153478,"PLEKHG4B","-","NP_443141.4",1627,"pleckstrin homology domain-containing family G member 4B"
"chromosome 5","NC_000005.10",92232,182323,"+",153478,"PLEKHG4B","-","XP_011512270.1",1626,"pleckstrin homology domain-containing family G member 4B isoform X1"
"chromosome 5","NC_000005.10",92232,182323,"+",153478,"PLEKHG4B","-","XP_011512271.1",1586,"pleckstrin homology domain-containing family G member 4B isoform X2"
"chromosome 5","NC_000005.10",92232,179606,"+",153478,"PLEKHG4B","-","XP_016864601.1",1485,"pleckstrin homology domain-containing family G member 4B isoform X3"
"chromosome 5","NC_000005.10",139699,182323,"+",153478,"PLEKHG4B","-","XP_011512272.1",1474,"pleckstrin homology domain-containing family G member 4B isoform X4"
"chromosome 5","NC_000005.10",191539,195353,"+",389257,"LRRC14B","-","NP_001073947.1",514,"leucine-rich repeat-containing protein 14B"
"chromosome 5","NC_000005.10",205297,216849,"-",133957,"CCDC127","-","NP_660308.1",260,"coiled-coil domain-containing protein 127"
"chromosome 5","NC_000005.10",218356,263443,"+",6389,"SDHA","-","XP_011512374.1",680,"succinate dehydrogenase"
"chromosome 5","NC_000005.10",218356,263443,"+",6389,"SDHA","-","XP_011512375.1",599,"succinate dehydrogenase"
"chromosome 5","NC_000005.10",218356,256420,"+",6389,"SDHA","-","NP_004159.2",664,"succinate dehydrogenase"
"chromosome 5","NC_000005.10",218356,256420,"+",6389,"SDHA","-","NP_001317687.1",583,"succinate dehydrogenase"
"chromosome 5","NC_000005.10",218356,256420,"+",6389,"SDHA","-","NP_001281261.1",616,"succinate dehydrogenase"
"chromosome 5","NC_000005.10",218356,254956,"+",6389,"SDHA","-","XP_016865174.1",785,"succinate dehydrogenase"
"chromosome 5","NC_000005.10",218356,254956,"+",6389,"SDHA","-","XP_024301911.1",737,"succinate dehydrogenase"
"chromosome 5","NC_000005.10",271721,314515,"+",10016,"PDCD6","-","NP_037364.1",191,"programmed cell death protein 6 isoform 1"
"chromosome 5","NC_000005.10",271721,314515,"+",10016,"PDCD6","-","NP_001254485.1",189,"programmed cell death protein 6 isoform 2"
"chromosome 5","NC_000005.10",271721,314515,"+",10016,"PDCD6","-","NP_001254486.1",123,"programmed cell death protein 6 isoform 3"
"chromosome 5","NC_000005.10",271721,314418,"+",10016,"PDCD6","-","NP_001254488.1",69,"programmed cell death protein 6 isoform 5"
"chromosome 5","NC_000005.10",306604,314515,"+",10016,"PDCD6","-","NP_001254487.1",121,"programmed cell death protein 6 isoform 4"
"chromosome 5","NC_000005.10",343903,434834,"+",57491,"AHRR","-","NP_001364168.1",697,"aryl hydrocarbon receptor repressor"
"chromosome 5","NC_000005.10",343903,434834,"+",57491,"AHRR","-","NP_001364165.1",697,"aryl hydrocarbon receptor repressor"
"chromosome 5","NC_000005.10",446206,466898,"+",11336,"EXOC3","-","NP_009208.2",745,"exocyst complex component 3"
"chromosome 5","NC_000005.10",473379,524322,"-",6550,"SLC9A3","-","NP_001271280.1",825,"sodium/hydrogen exchanger 3 isoform 2"
"chromosome 5","NC_000005.10",473379,524322,"-",6550,"SLC9A3","-","NP_004165.2",834,"sodium/hydrogen exchanger 3 isoform 1"
"chromosome 5","NC_000005.10",612362,653153,"+",55722,"CEP72","-","NP_060610.2",647,"centrosomal protein of 72 kDa"
"chromosome 5","NC_000005.10",612362,653153,"+",55722,"CEP72","-","XP_011512365.1",647,"centrosomal protein of 72 kDa isoform X1"
"chromosome 5","NC_000005.10",619058,653153,"+",55722,"CEP72","-","XP_005248379.1",597,"centrosomal protein of 72 kDa isoform X2"
"chromosome 5","NC_000005.10",619058,653153,"+",55722,"CEP72","-","XP_011512366.1",597,"centrosomal protein of 72 kDa isoform X2"
"chromosome 5","NC_000005.10",633824,653153,"+",55722,"CEP72","-","XP_016865115.1",458,"centrosomal protein of 72 kDa isoform X3"
"chromosome 5","NC_000005.10",633824,653153,"+",55722,"CEP72","-","XP_016865116.1",458,"centrosomal protein of 72 kDa isoform X3"
"chromosome 5","NC_000005.10",665102,679508,"-",11076,"TPPP","-","XP_016864482.1",286,"tubulin polymerization-promoting protein isoform X1"
"chromosome 5","NC_000005.10",665102,678060,"-",11076,"TPPP","-","XP_024310114.1",219,"tubulin polymerization-promoting protein isoform X2"
