,component,composite,composite_start,composite_end,component_fam,composite_fam,no_overlap_score,ch_composite,ch_component
2,sp|Q9NRS6|SNX15_HUMAN,sp|Q96S38|KS6C1_HUMAN,5,136,F3220,F648,1.00,1,11
3,sp|Q9Y6S9|RPKL1_HUMAN,sp|Q96S38|KS6C1_HUMAN,906,1065,F513,F648,1.00,1,14
465,sp|Q5JUW0|KRBX4_HUMAN,sp|Q49AA0|ZFP69_HUMAN,70,142,F3503,F1940,1.00,1,x
466,sp|Q7Z2F6|ZN720_HUMAN,sp|Q49AA0|ZFP69_HUMAN,75,135,F3231,F1940,1.00,1,16
467,sp|Q86UD4|ZN329_HUMAN,sp|Q49AA0|ZFP69_HUMAN,227,521,F2143,F1940,1.00,1,19
468,sp|Q7RTV3|ZN367_HUMAN,sp|Q49AA0|ZFP69_HUMAN,257,333,F3375,F1940,1.00,1,9
469,sp|Q15929|ZNF56_HUMAN,sp|Q49AA0|ZFP69_HUMAN,275,392,F2029,F1940,1.00,1,-1
470,sp|Q8N8C0|ZN781_HUMAN,sp|Q49AA0|ZFP69_HUMAN,314,421,F3377,F1940,1.00,1,19
471,sp|Q5EBM4|ZN542_HUMAN,sp|Q49AA0|ZFP69_HUMAN,384,455,F3478,F1940,1.00,1,-1
590,sp|Q5JUW0|KRBX4_HUMAN,sp|Q9UJL9|ZF69B_HUMAN,68,143,F3503,F1940,1.00,1,x
591,sp|Q13401|PM2P3_HUMAN,sp|Q9UJL9|ZF69B_HUMAN,71,136,F3232,F1940,1.00,1,-1
592,sp|Q7Z2F6|ZN720_HUMAN,sp|Q9UJL9|ZF69B_HUMAN,73,133,F3231,F1940,1.00,1,16
593,sp|Q8NE65|ZN738_HUMAN,sp|Q9UJL9|ZF69B_HUMAN,74,137,F3504,F1940,1.00,1,19
594,sp|Q9UJN7|ZN391_HUMAN,sp|Q9UJL9|ZF69B_HUMAN,183,527,F2112,F1940,1.00,1,6
595,sp|P17026|ZNF22_HUMAN,sp|Q9UJL9|ZF69B_HUMAN,247,418,F2075,F1940,1.00,1,10
596,sp|Q8N8C0|ZN781_HUMAN,sp|Q9UJL9|ZF69B_HUMAN,248,379,F3377,F1940,1.00,1,19
597,sp|Q6ZRF7|ZN818_HUMAN,sp|Q9UJL9|ZF69B_HUMAN,282,345,F2059,F1940,1.00,1,-1
598,sp|Q15929|ZNF56_HUMAN,sp|Q9UJL9|ZF69B_HUMAN,283,400,F2029,F1940,1.00,1,-1
599,sp|O14771|ZN213_HUMAN,sp|Q9UJL9|ZF69B_HUMAN,327,470,F1988,F1940,1.00,1,16
600,sp|P17028|ZNF24_HUMAN,sp|Q9UJL9|ZF69B_HUMAN,417,534,F342,F1940,1.00,1,18
601,sp|Q96N95|ZN396_HUMAN,sp|Q9UJL9|ZF69B_HUMAN,308,389,F342,F1940,1.00,1,18
602,sp|O60304|ZN500_HUMAN,sp|Q9UJL9|ZF69B_HUMAN,384,526,F2043,F1940,1.00,1,16
603,sp|Q8N8Y5|ZFP41_HUMAN,sp|Q9UJL9|ZF69B_HUMAN,417,528,F2028,F1940,1.00,1,8
604,sp|Q5EBM4|ZN542_HUMAN,sp|Q9UJL9|ZF69B_HUMAN,449,513,F3478,F1940,1.00,1,-1
1343,sp|Q6ZRF7|ZN818_HUMAN,sp|Q5VV52|ZN691_HUMAN,120,165,F2059,F1879,1.00,1,-1
1344,sp|O60304|ZN500_HUMAN,sp|Q5VV52|ZN691_HUMAN,165,307,F2043,F1879,1.00,1,16
1568,sp|Q5JUW0|KRBX4_HUMAN,sp|Q9C0F3|ZN436_HUMAN,7,57,F3503,F345,1.00,1,x
1569,sp|P17032|ZN37A_HUMAN,sp|Q9C0F3|ZN436_HUMAN,72,445,F2120,F345,1.00,1,10
1570,sp|Q9Y5A6|ZSC21_HUMAN,sp|Q9C0F3|ZN436_HUMAN,103,331,F1958,F345,1.00,1,7
1571,sp|Q96I27|ZN625_HUMAN,sp|Q9C0F3|ZN436_HUMAN,143,393,F2138,F345,1.00,1,19
1572,sp|Q63HK3|ZKSC2_HUMAN,sp|Q9C0F3|ZN436_HUMAN,144,362,F1699,F345,1.00,1,16
1573,sp|P10073|ZSC22_HUMAN,sp|Q9C0F3|ZN436_HUMAN,159,384,F2056,F345,1.00,1,19
1574,sp|O95201|ZN205_HUMAN,sp|Q9C0F3|ZN436_HUMAN,161,385,F1975,F345,1.00,1,16
1575,sp|Q7L3S4|ZN771_HUMAN,sp|Q9C0F3|ZN436_HUMAN,164,399,F2102,F345,1.00,1,16
1576,sp|Q9UDV7|ZN282_HUMAN,sp|Q9C0F3|ZN436_HUMAN,168,330,F1977,F345,1.00,1,7
1577,sp|Q86UQ0|ZN589_HUMAN,sp|Q9C0F3|ZN436_HUMAN,170,308,F1946,F345,1.00,1,3
1578,sp|Q6ZRF7|ZN818_HUMAN,sp|Q9C0F3|ZN436_HUMAN,171,219,F2059,F345,1.00,1,-1
1579,sp|Q8N782|ZN525_HUMAN,sp|Q9C0F3|ZN436_HUMAN,179,372,F2106,F345,1.00,1,-1
1580,sp|Q8N8C0|ZN781_HUMAN,sp|Q9C0F3|ZN436_HUMAN,181,294,F3377,F345,1.00,1,19
1581,sp|Q5VV52|ZN691_HUMAN,sp|Q9C0F3|ZN436_HUMAN,182,388,F1879,F345,1.00,1,1
1582,sp|O60315|ZEB2_HUMAN,sp|Q9C0F3|ZN436_HUMAN,194,268,F715,F345,1.00,1,2
1583,sp|P37275|ZEB1_HUMAN,sp|Q9C0F3|ZN436_HUMAN,194,268,F1945,F345,1.00,1,10
1584,sp|Q15929|ZNF56_HUMAN,sp|Q9C0F3|ZN436_HUMAN,199,315,F2029,F345,1.00,1,-1
1585,sp|Q02446|SP4_HUMAN,sp|Q9C0F3|ZN436_HUMAN,199,276,F3363,F345,1.00,1,7
1586,sp|P0CG40|SP9_HUMAN,sp|Q9C0F3|ZN436_HUMAN,199,274,F3373,F345,1.00,1,2
1587,sp|Q8IXZ3|SP8_HUMAN,sp|Q9C0F3|ZN436_HUMAN,199,274,F3376,F345,1.00,1,7
1588,sp|P10075|GLI4_HUMAN,sp|Q9C0F3|ZN436_HUMAN,209,440,F2049,F345,1.00,1,8
1589,sp|P17022|ZNF18_HUMAN,sp|Q9C0F3|ZN436_HUMAN,217,363,F1951,F345,1.00,1,17
1590,sp|Q8TBC5|ZSC18_HUMAN,sp|Q9C0F3|ZN436_HUMAN,220,278,F2082,F345,1.00,1,19
1591,sp|Q5EBM4|ZN542_HUMAN,sp|Q9C0F3|ZN436_HUMAN,224,293,F3478,F345,1.00,1,-1
1592,sp|Q9H4T2|ZSC16_HUMAN,sp|Q9C0F3|ZN436_HUMAN,304,418,F341,F345,1.00,1,6
1593,sp|Q9UNY5|ZN232_HUMAN,sp|Q9C0F3|ZN436_HUMAN,209,361,F341,F345,1.00,1,17
1594,sp|Q96LW9|ZSC31_HUMAN,sp|Q9C0F3|ZN436_HUMAN,205,389,F341,F345,1.00,1,6
1595,sp|Q3MJ62|ZSC23_HUMAN,sp|Q9C0F3|ZN436_HUMAN,226,384,F341,F345,1.00,1,6
1596,sp|O15535|ZSC9_HUMAN,sp|Q9C0F3|ZN436_HUMAN,302,441,F341,F345,1.00,1,6
1597,sp|O60304|ZN500_HUMAN,sp|Q9C0F3|ZN436_HUMAN,243,386,F2043,F345,1.00,1,16
1598,sp|Q9H963|ZN702_HUMAN,sp|Q9C0F3|ZN436_HUMAN,247,373,F1954,F345,1.00,1,-1
1599,sp|P17026|ZNF22_HUMAN,sp|Q9C0F3|ZN436_HUMAN,247,389,F2075,F345,1.00,1,10
1600,sp|A6NGD5|ZSA5C_HUMAN,sp|Q9C0F3|ZN436_HUMAN,249,384,F1953,F345,1.00,1,19
1601,sp|Q9UJQ4|SALL4_HUMAN,sp|Q9C0F3|ZN436_HUMAN,252,300,F2025,F345,1.00,1,20
1602,sp|Q13351|KLF1_HUMAN,sp|Q9C0F3|ZN436_HUMAN,255,328,F3480,F345,1.00,1,19
1603,sp|Q6ZT77|ZN826_HUMAN,sp|Q9C0F3|ZN436_HUMAN,257,333,F2062,F345,1.00,1,-1
1604,sp|P17028|ZNF24_HUMAN,sp|Q9C0F3|ZN436_HUMAN,220,332,F342,F345,1.00,1,18
1605,sp|Q96N95|ZN396_HUMAN,sp|Q9C0F3|ZN436_HUMAN,307,388,F342,F345,1.00,1,18
1606,sp|Q8N8Y5|ZFP41_HUMAN,sp|Q9C0F3|ZN436_HUMAN,275,389,F2028,F345,1.00,1,8
1607,sp|P18146|EGR1_HUMAN,sp|Q9C0F3|ZN436_HUMAN,303,388,F1968,F345,1.00,1,5
1608,sp|P11161|EGR2_HUMAN,sp|Q9C0F3|ZN436_HUMAN,303,388,F2076,F345,1.00,1,10
1609,sp|O43474|KLF4_HUMAN,sp|Q9C0F3|ZN436_HUMAN,311,384,F1885,F345,1.00,1,9
1610,sp|Q9Y5W3|KLF2_HUMAN,sp|Q9C0F3|ZN436_HUMAN,311,384,F2146,F345,1.00,1,19
1611,sp|Q96SL8|FIZ1_HUMAN,sp|Q9C0F3|ZN436_HUMAN,389,469,F2118,F345,1.00,1,19
1726,sp|Q9GZW5|SCND2_HUMAN,sp|P17040|ZSC20_HUMAN,1,132,F3559,F1874,1.00,1,-1
1727,sp|Q96IT1|ZN496_HUMAN,sp|P17040|ZSC20_HUMAN,41,132,F2065,F1874,1.00,1,1
1728,sp|P57086|SCND1_HUMAN,sp|P17040|ZSC20_HUMAN,42,104,F3560,F1874,1.00,1,20
1729,sp|Q8TBC5|ZSC18_HUMAN,sp|P17040|ZSC20_HUMAN,48,127,F2082,F1874,1.00,1,19
1730,sp|Q8NBB4|ZSCA1_HUMAN,sp|P17040|ZSC20_HUMAN,48,128,F2088,F1874,1.00,1,19
1731,sp|P17028|ZNF24_HUMAN,sp|P17040|ZSC20_HUMAN,870,985,F342,F1874,1.00,1,18
1732,sp|Q96N95|ZN396_HUMAN,sp|P17040|ZSC20_HUMAN,42,173,F342,F1874,1.00,1,18
1733,sp|Q7Z7L9|ZSCA2_HUMAN,sp|P17040|ZSC20_HUMAN,600,1041,F1995,F1874,1.00,1,15
1734,sp|Q15697|ZN174_HUMAN,sp|P17040|ZSC20_HUMAN,717,818,F2123,F1874,1.00,1,16
1735,sp|Q8WTZ3|YS049_HUMAN,sp|P17040|ZSC20_HUMAN,723,803,F2649,F1874,1.00,1,-1
1736,sp|Q5EBM4|ZN542_HUMAN,sp|P17040|ZSC20_HUMAN,740,809,F3478,F1874,1.00,1,-1
1737,sp|Q9NR11|ZN302_HUMAN,sp|P17040|ZSC20_HUMAN,808,1041,F2052,F1874,1.00,1,19
1738,sp|Q6ZT77|ZN826_HUMAN,sp|P17040|ZSC20_HUMAN,882,958,F2062,F1874,1.00,1,-1
1739,sp|Q6ZRF7|ZN818_HUMAN,sp|P17040|ZSC20_HUMAN,908,969,F2059,F1874,1.00,1,-1
1740,sp|O95600|KLF8_HUMAN,sp|P17040|ZSC20_HUMAN,964,1037,F3361,F1874,1.00,1,x
1843,sp|O43298|ZBT43_HUMAN,sp|Q5TC79|ZBT37_HUMAN,1,124,F1799,F1801,1.00,1,9
1844,sp|Q6P9A3|ZN549_HUMAN,sp|Q5TC79|ZBT37_HUMAN,375,438,F1382,F1801,1.00,1,19
1847,sp|Q9Y4F5|C170B_HUMAN,sp|Q5SW79|CE170_HUMAN,1,383,F1697,F3901,1.00,1,14
1848,sp|Q96L14|C170L_HUMAN,sp|Q5SW79|CE170_HUMAN,1275,1584,F4829,F3901,1.00,1,-1
1875,sp|Q5JPB2|ZN831_HUMAN,sp|Q5T1R4|ZEP3_HUMAN,185,262,F1989,F1971,1.00,1,20
1876,sp|Q13422|IKZF1_HUMAN,sp|Q5T1R4|ZEP3_HUMAN,190,243,F1962,F1971,1.00,1,7
1877,sp|P0CG23|ZN853_HUMAN,sp|Q5T1R4|ZEP3_HUMAN,192,243,F2105,F1971,1.00,1,7
1878,sp|P31629|ZEP2_HUMAN,sp|Q5T1R4|ZEP3_HUMAN,1588,1853,F83,F1971,1.00,1,6
1889,sp|Q76LX8|ATS13_HUMAN,sp|Q96RW7|HMCN1_HUMAN,4642,4697,F1111,F496,1.00,1,9
1890,sp|Q8WXS8|ATS14_HUMAN,sp|Q96RW7|HMCN1_HUMAN,4644,4698,F1106,F496,1.00,1,10
1891,sp|Q8TE57|ATS16_HUMAN,sp|Q96RW7|HMCN1_HUMAN,4750,4814,F1103,F496,1.00,1,5
1892,sp|Q8TE60|ATS18_HUMAN,sp|Q96RW7|HMCN1_HUMAN,4698,4754,F1103,F496,1.00,1,16
1965,sp|Q86T75|NBPFB_HUMAN,sp|P0DPF2|NBPFK_HUMAN,68,485,F3156,F4369,1.00,1,1
1966,sp|Q6P3W6|NBPFA_HUMAN,sp|P0DPF2|NBPFK_HUMAN,58,453,F3156,F4369,1.00,1,-1
1967,sp|A0A087WUL8|NBPFJ_HUMAN,sp|P0DPF2|NBPFK_HUMAN,790,4452,F4367,F4369,1.00,1,1
1968,sp|Q5TAG4|NBPFC_HUMAN,sp|P0DPF2|NBPFK_HUMAN,4473,5207,F4366,F4369,1.00,1,1
1969,sp|Q3BBV0|NBPF1_HUMAN,sp|P0DPF2|NBPFK_HUMAN,4694,5207,F4366,F4369,1.00,1,1
2362,sp|Q6ZQV5|ZN788_HUMAN,sp|Q9BS34|ZN670_HUMAN,2,43,F3229,F349,1.00,1,-1
2363,sp|A8MQ14|ZN850_HUMAN,sp|Q9BS34|ZN670_HUMAN,76,387,F553,F349,1.00,1,19
2364,sp|Q6BEB4|SP5_HUMAN,sp|Q9BS34|ZN670_HUMAN,202,279,F3123,F349,1.00,1,2
2365,sp|Q02446|SP4_HUMAN,sp|Q9BS34|ZN670_HUMAN,202,279,F3363,F349,1.00,1,7
2366,sp|Q6ZT77|ZN826_HUMAN,sp|Q9BS34|ZN670_HUMAN,204,280,F2062,F349,1.00,1,-1
2367,sp|Q15697|ZN174_HUMAN,sp|Q9BS34|ZN670_HUMAN,215,306,F2123,F349,1.00,1,16
2368,sp|Q8N8Y5|ZFP41_HUMAN,sp|Q9BS34|ZN670_HUMAN,222,336,F2028,F349,1.00,1,8
2369,sp|O60315|ZEB2_HUMAN,sp|Q9BS34|ZN670_HUMAN,225,290,F715,F349,1.00,1,2
2370,sp|P37275|ZEB1_HUMAN,sp|Q9BS34|ZN670_HUMAN,225,290,F1945,F349,1.00,1,10
2371,sp|Q15929|ZNF56_HUMAN,sp|Q9BS34|ZN670_HUMAN,230,346,F2029,F349,1.00,1,-1
2372,sp|P17028|ZNF24_HUMAN,sp|Q9BS34|ZN670_HUMAN,214,335,F342,F349,1.00,1,18
2373,sp|Q96N95|ZN396_HUMAN,sp|Q9BS34|ZN670_HUMAN,251,332,F342,F349,1.00,1,18
2374,sp|Q8TAX0|OSR1_HUMAN,sp|Q9BS34|ZN670_HUMAN,250,335,F1999,F349,1.00,1,2
2375,sp|Q9UJQ4|SALL4_HUMAN,sp|Q9BS34|ZN670_HUMAN,334,383,F2025,F349,1.00,1,20
2611,sp|Q6ZRF7|ZN818_HUMAN,sp|Q5TEC3|ZN697_HUMAN,358,406,F2059,F2070,0.00,1,-1
2612,sp|Q15697|ZN174_HUMAN,sp|Q5TEC3|ZN697_HUMAN,387,490,F2123,F2070,0.00,1,16
2707,sp|Q6ZQV5|ZN788_HUMAN,sp|Q15973|ZN124_HUMAN,11,52,F3229,F349,1.00,1,-1
2708,sp|B4DXR9|ZN732_HUMAN,sp|Q15973|ZN124_HUMAN,65,348,F344,F349,1.00,1,4
2709,sp|Q03936|ZNF92_HUMAN,sp|Q15973|ZN124_HUMAN,73,350,F344,F349,1.00,1,7
2710,sp|Q8IYN0|ZN100_HUMAN,sp|Q15973|ZN124_HUMAN,77,348,F344,F349,1.00,1,19
2711,sp|Q8TB69|ZN519_HUMAN,sp|Q15973|ZN124_HUMAN,115,350,F344,F349,1.00,1,18
2712,sp|Q86V71|ZN429_HUMAN,sp|Q15973|ZN124_HUMAN,65,348,F344,F349,1.00,1,19
2713,sp|P17019|ZN708_HUMAN,sp|Q15973|ZN124_HUMAN,65,348,F344,F349,1.00,1,19
