,source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents
0,KEGG,KEGG:05168,Herpes simplex virus 1 infection,1.1304833231875384e-159,True,Herpes simplex virus 1 infection,487,137,133,7747,0.9708029197080292,0.2731006160164271,query_1,['KEGG:00000']
1,GO:MF,GO:0003677,DNA binding,4.631948667805587e-124,True,"""Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid)."" [GOC:dph, GOC:jl, GOC:tb, GOC:vw]",2485,159,154,18134,0.9685534591194969,0.061971830985915494,query_1,['GO:0003676']
2,GO:BP,GO:0006355,"regulation of transcription, DNA-templated",1.9786797715231113e-106,True,"""Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription."" [GOC:go_curators, GOC:txnOH]",3445,158,156,17916,0.9873417721518988,0.045283018867924525,query_1,"['GO:0006351', 'GO:0010468', 'GO:1903506', 'GO:2000112']"
3,GO:BP,GO:1903506,regulation of nucleic acid-templated transcription,6.088470863246201e-105,True,"""Any process that modulates the frequency, rate or extent of nucleic acid-templated transcription."" [GO_REF:0000058, GOC:pr, GOC:TermGenie, GOC:txnOH, GOC:vw]",3520,158,156,17916,0.9873417721518988,0.04431818181818182,query_1,"['GO:0097659', 'GO:2001141']"
4,GO:BP,GO:2001141,regulation of RNA biosynthetic process,7.630561799002977e-105,True,"""Any process that modulates the frequency, rate or extent of RNA biosynthetic process."" [GOC:dph]",3525,158,156,17916,0.9873417721518988,0.04425531914893617,query_1,"['GO:0010556', 'GO:0031326', 'GO:0032774', 'GO:0051252']"
5,GO:BP,GO:0006351,"transcription, DNA-templated",6.238116605436926e-103,True,"""The cellular synthesis of RNA on a template of DNA."" [GOC:jl, GOC:txnOH]",3624,158,156,17916,0.9873417721518988,0.04304635761589404,query_1,"['GO:0010467', 'GO:0034645', 'GO:0097659']"
6,GO:BP,GO:0097659,nucleic acid-templated transcription,5.504019793292649e-102,True,"""The cellular synthesis of RNA on a template of nucleic acid (DNA or RNA)."" [GOC:pr, GOC:txnOH, GOC:vw]",3674,158,156,17916,0.9873417721518988,0.04246053347849755,query_1,['GO:0032774']
7,GO:BP,GO:0032774,RNA biosynthetic process,1.00714042203478e-101,True,"""The chemical reactions and pathways resulting in the formation of RNA, ribonucleic acid, one of the two main type of nucleic acid, consisting of a long, unbranched macromolecule formed from ribonucleotides joined in 3',5'-phosphodiester linkage. Includes polymerization of ribonucleotide monomers. Refers not only to transcription but also to e.g. viral RNA replication."" [GOC:mah, GOC:txnOH]",3688,158,156,17916,0.9873417721518988,0.04229934924078091,query_1,"['GO:0009059', 'GO:0016070', 'GO:0034654']"
8,GO:BP,GO:0051252,regulation of RNA metabolic process,9.452144251805097e-100,True,"""Any process that modulates the frequency, rate or extent of the chemical reactions and pathways involving RNA."" [GOC:ai]",3795,158,156,17916,0.9873417721518988,0.04110671936758893,query_1,"['GO:0016070', 'GO:0019219', 'GO:0060255']"
9,GO:BP,GO:2000112,regulation of cellular macromolecule biosynthetic process,1.2070775734892237e-96,True,"""Any process that modulates the frequency, rate or extent of cellular macromolecule biosynthetic process."" [GOC:obol]",3970,158,156,17916,0.9873417721518988,0.03929471032745592,query_1,"['GO:0010556', 'GO:0031326', 'GO:0034645']"
