,component,composite,composite_start,composite_end,component_fam,composite_fam,no_overlap_score,ch_composite,ch_component
0,sp|Q8NHM5|KDM2B_HUMAN,sp|Q9Y2K7|KDM2A_HUMAN,19,687,F611,F605,1.00,11,12
1,sp|Q6PCT2|FXL19_HUMAN,sp|Q9Y2K7|KDM2A_HUMAN,888,1162,F4169,F605,1.00,11,16
2,sp|Q9NRS6|SNX15_HUMAN,sp|Q96S38|KS6C1_HUMAN,5,136,F3220,F648,1.00,1,11
3,sp|Q9Y6S9|RPKL1_HUMAN,sp|Q96S38|KS6C1_HUMAN,906,1065,F513,F648,1.00,1,14
4,sp|Q8N888|BCOR2_HUMAN,sp|Q6W2J9|BCOR_HUMAN,1254,1392,F1759,F702,1.00,x,-1
5,sp|Q5H9F3|BCORL_HUMAN,sp|Q6W2J9|BCOR_HUMAN,1476,1743,F708,F702,1.00,x,x
6,sp|Q99426|TBCB_HUMAN,sp|Q9UDT6|CLIP2_HUMAN,81,146,F948,F942,1.00,7,19
7,sp|Q9NQT8|KI13B_HUMAN,sp|Q9UDT6|CLIP2_HUMAN,219,301,F947,F942,1.00,7,8
8,sp|Q86VF7|NRAP_HUMAN,sp|Q14847|LASP1_HUMAN,5,95,F3856,F1210,1.00,17,10
9,sp|O76041|NEBL_HUMAN,sp|Q14847|LASP1_HUMAN,168,261,F1217,F1210,1.00,17,10
10,sp|Q16609|LPAL2_HUMAN,sp|P08519|APOA_HUMAN,1,131,F3399,F1660,1.00,6,-1
11,sp|P00747|PLMN_HUMAN,sp|P08519|APOA_HUMAN,3774,4548,F1664,F1660,1.00,6,6
12,sp|P50479|PDLI4_HUMAN,sp|Q9NR12|PDLI7_HUMAN,6,85,F3531,F3568,1.00,5,5
13,sp|O75112|LDB3_HUMAN,sp|Q9NR12|PDLI7_HUMAN,218,453,F3057,F3568,1.00,5,10
14,sp|Q8WXC3|PYDC1_HUMAN,sp|Q9ULZ3|ASC_HUMAN,1,88,F4107,F4108,1.00,16,16
15,sp|Q9C000|NLRP1_HUMAN,sp|Q9ULZ3|ASC_HUMAN,97,192,F492,F4108,1.00,16,17
16,sp|Q9NYV6|RRN3_HUMAN,sp|A6NIE6|RN3P2_HUMAN,1,262,F3299,F4254,1.00,-1,16
17,sp|Q2M238|RN3P1_HUMAN,sp|A6NIE6|RN3P2_HUMAN,262,306,F4255,F4254,1.00,-1,-1
18,sp|O43602|DCX_HUMAN,sp|Q8N568|DCLK2_HUMAN,7,354,F4641,F208,1.00,4,x
19,sp|Q9C098|DCLK3_HUMAN,sp|Q8N568|DCLK2_HUMAN,394,675,F274,F208,1.00,4,3
20,sp|Q14155|ARHG7_HUMAN,sp|Q96B97|SH3K1_HUMAN,7,57,F1211,F1202,1.00,x,13
21,sp|Q15052|ARHG6_HUMAN,sp|Q96B97|SH3K1_HUMAN,8,69,F1211,F1202,1.00,x,x
22,sp|A4FU49|SH321_HUMAN,sp|Q96B97|SH3K1_HUMAN,270,332,F1208,F1202,1.00,x,1
23,sp|Q6ZRF7|ZN818_HUMAN,sp|Q9H116|GZF1_HUMAN,440,488,F2059,F1813,1.00,20,-1
24,sp|Q9UJQ4|SALL4_HUMAN,sp|Q9H116|GZF1_HUMAN,547,600,F2025,F1813,1.00,20,20
25,sp|Q6PJE2|POZP3_HUMAN,sp|A8CG34|P121C_HUMAN,243,317,F4494,F3927,1.00,7,7
26,sp|A6NF01|P121B_HUMAN,sp|A8CG34|P121C_HUMAN,401,1229,F4305,F3927,1.00,7,-1
27,sp|Q96QE4|LR37B_HUMAN,sp|A6NMS7|L37A1_HUMAN,571,1143,F597,F598,1.00,17,17
28,sp|Q49AS3|L37A5_HUMAN,sp|A6NMS7|L37A1_HUMAN,1470,1541,F4655,F598,1.00,17,-1
29,sp|Q96JK4|HIPL1_HUMAN,sp|Q9UGM3|DMBT1_HUMAN,374,463,F791,F779,1.00,10,14
30,sp|Q08380|LG3BP_HUMAN,sp|Q9UGM3|DMBT1_HUMAN,602,709,F790,F779,1.00,10,17
31,sp|Q6ZMJ2|SCAR5_HUMAN,sp|Q9UGM3|DMBT1_HUMAN,726,833,F789,F779,1.00,10,8
32,sp|Q9UMD9|COHA1_HUMAN,sp|Q6ZMJ2|SCAR5_HUMAN,305,380,F822,F789,1.00,8,10
33,sp|Q9UGM3|DMBT1_HUMAN,sp|Q6ZMJ2|SCAR5_HUMAN,386,493,F779,F789,1.00,8,10
34,sp|Q9GZU2|PEG3_HUMAN,sp|Q9NZV7|ZIM2_HUMAN,1,138,F1683,F1964,1.00,19,19
35,sp|Q96GC6|ZN274_HUMAN,sp|Q9NZV7|ZIM2_HUMAN,174,234,F1966,F1964,1.00,19,19
36,sp|Q15697|ZN174_HUMAN,sp|Q9NZV7|ZIM2_HUMAN,467,527,F2123,F1964,1.00,19,16
37,sp|P53041|PPP5_HUMAN,sp|E7EU14|PP5D1_HUMAN,22,121,F3188,F2654,0.00,19,19
38,sp|P51957|NEK4_HUMAN,sp|E7EU14|PP5D1_HUMAN,114,163,F206,F2654,0.00,19,3
39,sp|P50479|PDLI4_HUMAN,sp|O75112|LDB3_HUMAN,1,82,F3531,F3057,1.00,10,5
40,sp|O00151|PDLI1_HUMAN,sp|O75112|LDB3_HUMAN,5,87,F3530,F3057,1.00,10,10
41,sp|Q9NR12|PDLI7_HUMAN,sp|O75112|LDB3_HUMAN,484,722,F3568,F3057,1.00,10,5
42,sp|Q8N9W6|BOLL_HUMAN,sp|Q86SG3|DAZ4_HUMAN,35,119,F37,F52,1.00,y,2
43,sp|Q92904|DAZL_HUMAN,sp|Q86SG3|DAZ4_HUMAN,167,361,F38,F52,1.00,y,3
44,sp|P12110|CO6A2_HUMAN,sp|P21757|MSRE_HUMAN,273,339,F818,F787,1.00,8,21
45,sp|Q86VB7|C163A_HUMAN,sp|P21757|MSRE_HUMAN,344,450,F763,F787,1.00,8,12
46,sp|P59510|ATS20_HUMAN,sp|P35442|TSP2_HUMAN,492,549,F1104,F837,1.00,6,12
47,sp|P49747|COMP_HUMAN,sp|P35442|TSP2_HUMAN,549,1171,F1591,F837,1.00,6,19
48,sp|P78410|BT3A2_HUMAN,sp|O00481|BT3A1_HUMAN,1,328,F2177,F925,1.00,6,6
49,sp|Q9HCM9|TRI39_HUMAN,sp|O00481|BT3A1_HUMAN,340,498,F408,F925,1.00,6,6
50,sp|Q7Z2F6|ZN720_HUMAN,sp|Q5FWF6|ZN789_HUMAN,10,70,F3231,F2150,1.00,7,16
51,sp|Q8NE65|ZN738_HUMAN,sp|Q5FWF6|ZN789_HUMAN,11,70,F3504,F2150,1.00,7,19
52,sp|Q6ZRF7|ZN818_HUMAN,sp|Q5FWF6|ZN789_HUMAN,262,310,F2059,F2150,1.00,7,-1
53,sp|Q8TBR4|ST3L4_HUMAN,sp|Q8WVM7|STAG1_HUMAN,157,278,F3600,F2165,1.00,3,-1
54,sp|P0CL84|ST3L2_HUMAN,sp|Q8WVM7|STAG1_HUMAN,301,420,F3233,F2165,1.00,3,-1
55,sp|P0CL85|ST3L3_HUMAN,sp|Q8WVM7|STAG1_HUMAN,301,420,F3233,F2165,1.00,3,-1
56,sp|Q13670|PM2PB_HUMAN,sp|O95744|PM2P2_HUMAN,61,158,F4146,F4218,1.00,-1,-1
57,sp|Q13401|PM2P3_HUMAN,sp|O95744|PM2P2_HUMAN,72,145,F3232,F4218,1.00,-1,-1
58,sp|A8MQ11|PM2P5_HUMAN,sp|O95744|PM2P2_HUMAN,182,275,F4219,F4218,1.00,-1,-1
59,sp|O43298|ZBT43_HUMAN,sp|Q8NCN2|ZBT34_HUMAN,7,123,F1799,F1795,1.00,9,9
60,sp|Q8N883|ZN614_HUMAN,sp|Q8NCN2|ZBT34_HUMAN,374,453,F346,F1795,1.00,9,19
61,sp|Q8TBR4|ST3L4_HUMAN,sp|Q9UJ98|STAG3_HUMAN,170,291,F3600,F2165,1.00,7,-1
62,sp|P0CL84|ST3L2_HUMAN,sp|Q9UJ98|STAG3_HUMAN,314,433,F3233,F2165,1.00,7,-1
63,sp|P0CL85|ST3L3_HUMAN,sp|Q9UJ98|STAG3_HUMAN,314,433,F3233,F2165,1.00,7,-1
64,sp|Q96MD7|CI085_HUMAN,sp|Q8N976|YG039_HUMAN,8,59,F2651,F2646,0.00,-1,9
65,sp|Q9Y2Z0|SGT1_HUMAN,sp|Q8N976|YG039_HUMAN,42,74,F2660,F2646,0.00,-1,13
66,sp|Q9UDV7|ZN282_HUMAN,sp|Q9UDV6|ZN212_HUMAN,1,184,F1977,F3482,1.00,7,7
67,sp|Q6ZMS7|ZN783_HUMAN,sp|Q9UDV6|ZN212_HUMAN,1,180,F3223,F3482,1.00,7,7
68,sp|Q6NUN9|ZN746_HUMAN,sp|Q9UDV6|ZN212_HUMAN,39,180,F2036,F3482,1.00,7,7
69,sp|Q75MW2|ZN767_HUMAN,sp|Q9UDV6|ZN212_HUMAN,39,142,F3567,F3482,1.00,7,-1
70,sp|Q5EBM4|ZN542_HUMAN,sp|Q9UDV6|ZN212_HUMAN,429,470,F3478,F3482,1.00,7,-1
